,CellType,annotLevel,p,fold_change,sd_from_mean,area,FDR,Trend
BBB,BBB,1,0.01115,1.16236012,2.450265639,Frontal,0.01338,Up
ODC,ODC,1,0,1.398144921,6.640116779,Frontal,0,Up
ExNeu_deep,ExNeu_deep,1,0,1.364981577,6.067071444,Temporal,0,Up
BBB1,BBB,1,0,1.447507504,5.426672868,Hippocampus,0,Up
ODC1,ODC,1,0,1.478655177,6.382234221,Hippocampus,0,Up
BBB2,BBB,1,0.0354,1.18008254,1.929713753,BG,0.038618182,Up
ExNeu_deep1,ExNeu_deep,1,0.00207,1.187885191,3.158989851,BG,0.003548571,Up
ODC2,ODC,1,0.04612,1.148969661,1.761768302,BG,0.04612,Up
ODC3,ODC,1,0,1.553419037,7.893948376,Midbrain,0,Up
ODC4,ODC,1,0,1.584610837,8.571843025,Pons,0,Up
ODC5,ODC,1,0.0037,1.19850696,2.907810012,Occipital,0.00555,Up
ODC6,ODC,1,0.00674,1.300933072,2.780269998,Thalamus,0.008986667,Up
