,CellType,annotLevel,p,fold_change,sd_from_mean,Trend,abundance,FDR
EXT_4_L56,EXT_4_L56,2,0,1.845890888,6.365662517,down,-6.365662517,0
EXT_8_L6,EXT_8_L6,2,0,1.539196159,7.860608005,down,-7.860608005,0
EXT_9_L6,EXT_9_L6,2,0,2.01094141,10.16101167,down,-10.16101167,0
BBB_Endo_1,BBB_Endo_1,2,0.0066,1.578419256,3.131786607,up,3.131786607,0.033942857
BBB_EndoMuralMicro,BBB_EndoMuralMicro,2,0.00015,2.425591496,5.026465186,up,5.026465186,9.00E-04
MG1,MG1,2,4.00E-05,1.766542123,5.743992604,up,5.743992604,0.000288
MG2,MG2,2,0,2.518938779,8.341757426,up,8.341757426,0
ODC_1,ODC_1,2,0,1.917224653,7.231484525,up,7.231484525,0
ODC_2,ODC_2,2,0,1.883184583,8.101339793,up,8.101339793,0
ODC_3,ODC_3,2,0,1.60070293,6.204952139,up,6.204952139,0
